title,category,datetime_string,text
"Best Revenge: This Nerd Was
Bullied Throughout High School, But Today He’s An Adult Who Owns Several Funko Pop Figurines",Lifestyle,2018-11-30T10:20:00-05:00,"Throughout high school, Brian Hoffman was relentlessly mocked and bullied just for liking comic books and computer games. Ten years later, it turns out that being a geek really pays off in dividends: Eat your hearts out, bullies, because today Brian is an adult who owns several Funko Pop figurines."
‘Walking Dead’ Fans Split On Recent Harlem Globetrotters Crossover Episode,News in Brief,2018-11-30T13:09:00-06:00,"ATLANTA—Noting that late-season gimmicks have often had dire results for past series, fans of zombie drama The Walking Dead found themselves divided this week concerning a recent crossover episode featuring legendary basketball team the Harlem Globetrotters. “It was a nice touch of whimsy when the Globetrotter’s bus broke down near the containment wall, but honestly, it also kind of seems like they’re running out of ideas,” said longtime viewer Albert Garcia, who said he enjoyed the scene in which Rick Grimes and Curly Neal foraged for supplies in the ruins of an abandoned basketball arena, but also felt the storyline lacked the emotional gravitas that has come to define the show through its first nine seasons. “I’m not really sure how I felt about the part where the Dizzy took off a zombie’s head and spun it on his finger. That said, I did chuckle when Big Easy doused Negan with a bucket of confetti. Overall, though, it seemed a little desperate. And, naturally, it was kind of a bummer when that one racist character came back to kill them all at the end.” Fan reaction to the episode seemed almost unanimous, however, in that the Globetrotters’ appearance on The Walking Dead made far more sense than than the exhibition basketball team’s central, pivotal role in the 2009 series finale of Battlestar Galactica."
Angela Merkel Admits She Only Attending Stupid Work Conference For Free Trip To Argentina,News in Brief,2018-11-30T15:15:00-06:00,"BUENOS AIRES—Explaining that the event was “always a complete waste of time,” German chancellor Angela Merkel admitted to reporters Friday that she was only attending this stupid work conference for the free trip to Argentina. “I was totally planning to blow off this whole dumb business trip until I found out they were going to put me up in some super swanky Buenos Aires hotel,” said Merkel, who added that she was “sick and tired of having to put up with all the same annoying assholes every year.” “The whole thing is fucking lame, so hopefully I can duck out in the early afternoon and go check out the beach or some of their museums. If I end up trapped at this goddamn conference the whole time and don’t even get to try some authentic asado while I’m here, I’ll be so pissed. At the very least, I’m going to see if I can just get my dumb coworker [German minister of finance] Olaf [Scholz] to cover for me so I can hang out at the hotel bar.” At press time, Merkel was trying to avoid being spotted by Chinese president Xi Jinping after discovering that they had both skipped the afternoon meetings to take the same walking tour of the Buenos Aires Botanical Garden."
Undocumented Immigrant Population In U.S. Falls To 12-Year Low,American Voices,2018-11-30T10:04:00-06:00,"A Pew Research Center survey found that the number of undocumented immigrants living in the U.S. has reached a 12-year low of 10.7 million, continuing a decade-long decline influenced by the recession and increased security measures. What do you think?"
FDA Cracks Down On Vaping Among Young People,American Voices,2018-11-30T16:19:00-06:00,"The FDA gave makers of popular vaping devices 60 days to prove they can keep them away from minors or face them being taken off the market, saying their use has reached an “epidemic” level. What do you think?"
Recruiter Saw Your Background In Computer Science And Thought Maybe You’d Be Interested In Working Part-Time At A Kohl’s In Sioux City,News in Brief,2018-11-30T11:38:00-06:00,"ROCKLAND, ME—Noting your undergraduate minor in data systems, a qualification which he claims makes you uniquely suited for the job, a corporate recruiter happened to notice your background in computer science and thought you might be interested in working part-time at a Kohl’s department store in Sioux City, IA, retail sector sources confirmed Friday. “Hello, my name is Michael Leahy, and I wanted to touch base with you regarding an exciting retail employment opportunity in the greater northwestern Iowa area,” the email sent to your LinkedIn account read in part, adding that your strong coding skills made you an ideal fit for the 20-hour-per-week position, which also entails stocking merchandise, working the register, and one dedicated shift a week greeting customers at the door. “For bright, young college graduates such as yourself, especially given your experience with Java and C++, the Kohl’s in Lakeport County Shopping Center is the perfect place to start a career. Also, your current job in software marketing, plus the 2013 semester abroad you spent studying in Argentina, demonstrate you are a great fit for our team-based work culture!” Although the email was promptly sent straight to spam, the recruiter proceeded to call you multiple times, claiming that if you played your cards right, this could one day turn into a full-time position."
Wistful Woman Wonders If This Could Be The One She’ll Sleep With For Few Weeks Before Losing Interest,News in Brief,2018-12-03T10:22:00-06:00,"CHICAGO—Expressing optimism and excitement for what her romantic future might hold, local woman Fiona Dixon reportedly wondered Monday if the man she just went on a date with might finally be the one she’ll sleep with for a few weeks before losing interest. “I know we just met, but I’m feeling such a strong connection with Brian that I could definitely see us getting together again for mediocre sex and sort of just doing that for about a month until I get bored,” said Dixon, detailing her date’s passable yet unintimidating looks and sense of humor that was funny enough to be entertaining but not smart enough to be engaging. “He has everything I’ve ever dreamed of—a decent body, medium intelligence, and the right amount of interests in common to keep me occupied for a little while before I realize how incompatible we are, maybe hook up a couple more times, and then move on. Mark my words: One day, I’m going to ditch this man for something better and then repeat the cycle.” At press time, Dixon had giddily saved her companion’s mobile number into her phone contacts as “Future Mr. Wrong.”"
"O, Holy Fight",Editorial Cartoon,2018-11-30T07:42:00-06:00,Advertisement
Democrats Pick Nancy Pelosi As Next House Speaker,American Voices,2018-11-29T16:48:00-06:00,"More than a decade after she became the first female speaker of the House, Nancy Pelosi is poised to again fill the role of majority leader for the Democrats. What do you think?"
"If I Die, I Want You To Tell My Wife I Wasn’t Really That Super Into Her",Commentary,2018-11-30T11:09:00-06:00,"As I lie here, my vision starting to fade, I know I likely will not live to see my home again. The approach of death is terrifying, to be sure, but scarier still is leaving words unsaid to the woman I’ve spent so much of my life with. Should I not make it back to her in time, I need you to do something very important for me: If I die, you must go see my wife and tell her I wasn’t really that super into her."
